drinker,bar
"Pamela Cobb","Employees Only"
"Pamela Cobb","Gallow Green"
"Pansy Mata",Nowhere
"Pansy Mata",Rudy's
"Pansy Mata","The Summit Bar"
"Pansy Odom",7B
"Pansy Odom","Aldo Sohm Wine Bar"
"Pansy Odom","Connolly's Bar"
"Pansy Young","Bar Nine"
"Pansy Young","Blind Tiger Ale House"
"Pansy Young","Keats Bar"
"Paris Briggs","Bar Goto"
"Paris Briggs","Blind Tiger Ale House"
"Paris Farmer",7B
"Paris Farmer","Bemelmans Bar"
"Paris Farmer",Mona's
"Parker Barber","Ear Inn"
"Parker Barber","The Dead Rabbit"
"Parker Bennett","Clover Club"
"Parker Bennett","Dear Irving"
"Parker Nicholson","Dear Irving"
"Pasquale Jarvis",7B
"Pat Marquez",7B
"Pat Marquez","Aldo Sohm Wine Bar"
"Pat Swanson","Connolly's Bar"
"Pat Swanson","Old Town Bar"
"Patrice Bonilla","ABC Beer Co."
"Patrice Bonilla","The Pool Lounge"
"Patrice Bonilla",Torst
"Patrice Pena",Apotheke
"Patrice Pena","Employees Only"
"Patricia Rojas",Mace
"Patricia Rojas","Orange Street"
"Patrick Lawson",Barcade
"Patrick Ortega","Blue Bar"
"Patrick Ortega","Old Town Bar"
"Patrick Ortega","Spring Lounge"
"Patrik Li","Blue Bar"
"Patrik Li",PDT
"Patrik Li","Pegu Club"
"Patrik Li","Spring Lounge"
"Patsy Wells","Old Town Bar"
"Patti Ho","The Iron Horse Nyc"
"Patti Lamb","Alewife Queens"
"Patti Lamb",d.b.a.
"Patty Blair",Apotheke
"Patty Blair","Employees Only"
"Patty Blair",Mace
"Patty Pham","Old Town Bar"
"Patty Pham",PDT
"Paul Bishop","Aldo Sohm Wine Bar"
"Paul Lester","Blue Bar"
"Paul Lester",Donna
"Paul Lester","Old Town Bar"
"Paul Parker","Bohemian Hall & Beer Garden"
"Paul Parker","e's Bar"
"Paul Parker","The Aviary NYC"
"Paul Parker",Torst
"Paula Harris","The Central Bar"
"Paula Sandoval","Raines Law Room"
"Paulette Melendez","Clockwork Bar"
"Paulette Melendez","Jimmy's corner"
"Pauline Braun","The Wayland"
"Pauline Cuevas","Bar Goto"
"Pauline Cuevas","Blind Tiger Ale House"
"Pauline Cuevas",Dante
"Pauline Cuevas","The Counting Room"
"Pauline Stout","169 Bar"
"Pauline Stout","Dear Irving"
"Pauline Stout","Townhouse of New York"
"Pearl Cameron","Blue Bar"
"Pearl Huffman","Copper & Oak"
"Pearl Huffman",Nitecap
"Pearl Huffman",Subject
"Pearlie Gonzales","Ear Inn"
"Pearlie Gonzales","Zinc Bar"
"Pearlie Nielsen","Bar Nine"
"Pearlie Nielsen",Julius'
"Pearlie Potts","Clover Club"
"Pearlie Potts","KGB Bar"
"Pearlie Potts","Spring Lounge"
"Pedro Fisher","Blue Bar"
"Pedro Fisher","Old Town Bar"
"Peggy Zuniga","Blue Bar"
"Peggy Zuniga",Mayahuel
"Penelope Mercado","Aldo Sohm Wine Bar"
"Penelope Rasmussen","Blue Bar"
"Penelope Rasmussen",Mona's
"Penelope Rasmussen","The Wayland"
"Penny Schmidt",d.b.a.
"Penny Schmidt","Rainbow Room"
"Penny Watts","Connolly's Bar"
"Penny Watts","Lee's Tavern"
"Percy Cain","Aldo Sohm Wine Bar"
"Percy Cain","Pegu Club"
"Percy Jackson","Rainbow Room"
"Percy Savage","Aldo Sohm Wine Bar"
"Percy Savage","Bemelmans Bar"
"Percy Wiggins",7B
"Percy Wiggins","Bemelmans Bar"
"Percy Wiggins","Connolly's Bar"
"Perry Macias",Boxer
"Perry Macias","Employees Only"
"Pete Gilmore","Little Branch"
"Pete Valentine","Blind Tiger Ale House"
"Pete Valentine",Boxer
"Pete Valentine","Broken Shaker"
"Pete Valentine","Rose Bar"
"Peter Armstrong",LENA
"Peter Armstrong","Lucy's a.k.a. Blanche's Tavern"
"Peter Lowe","Dive Bar"
"Peter Lowe","Phoenix Bar"
"Petra Avila",Donna
"Petra Avila","Raines Law Room"
"Petra Chang","169 Bar"
"Petra Chang","Aldo Sohm Wine Bar"
"Petra Chang","KGB Bar"
"Petra Chang",PDT
"Petra Mercado","Bar Nine"
"Petra Sanders",Dante
"Petra Sanders",Leyenda
"Pheobe Anderson","Broken Shaker"
"Philip Avila",Barcade
"Philip Avila",Mona's
"Phillip Pratt","Lee's Tavern"
"Phillip Pratt",Mona's
"Phillip Wade","The Pony Bar"
"Phoebe Griffin","Dutch Kills"
"Phoebe Griffin","The Iron Horse Nyc"
"Phoebe Nielsen","Clover Club"
"Phoebe Stevens","The Wayland"
"Phoebe Ware",Mayahuel
"Phyllis Guerrero","Maison Premiere"
"Phyllis Guerrero","Pouring Ribbons"
"Phyllis Hanson","Bemelmans Bar"
"Phyllis Hanson","Old Town Bar"
"Phyllis Hanson",PDT
"Pierre Grant","Rainbow Room"
"Pierre Hess","Beauty Bar"
"Pierre Hess","The Long Island Bar"
"Pierre Jefferson","Blind Tiger Ale House"
"Pierre Jefferson","Broken Shaker"
"Pierre Jefferson",Subject
"Pierre Stark","Clover Club"
"Porfirio Edwards","Bar Goto"
"Porfirio Edwards","Blind Tiger Ale House"
"Porfirio Edwards","Little Branch"
"Porfirio Edwards","The Honeywell"
"Porfirio Keith",Rudy's
"Porfirio Mckenzie","Grand Banks"
"Porfirio Mckenzie",LENA
"Porfirio Mckenzie","The Dead Rabbit"
"Porfirio Mckenzie","Until Tomorrow"
"Porter Davenport","Holiday Cocktail Lounge"
"Porter Davenport","The Long Island Bar"
"Porter Davenport","The NoMad Bar"
"Porter Mcgrath","Dutch Kills"
"Porter Mcgrath","Maison Premiere"
"Porter Mcgrath","Zinc Bar"
"Preston Mcdaniel",d.b.a.
"Priscilla Bauer","Death & Company"
"Priscilla Bauer","Pouring Ribbons"
"Priscilla Bauer","The Dead Rabbit"
"Priscilla Lambert","Clockwork Bar"
"Priscilla Lambert","McSorley's Old Ale House"
"Quincy Weber","Townhouse of New York"
"Quinn Norton","Clover Club"
"Quinn Rocha","Beauty Bar"
"Quintin Alvarado","Copper & Oak"
"Quintin Alvarado","Little Branch"
"Quinton Bates","KGB Bar"
"Quinton Bates",Mona's
"Quinton Bates","Pegu Club"
"Quinton Shaffer","Aldo Sohm Wine Bar"
"Quinton Shaffer","Connolly's Bar"
"Quinton Shaffer","Lee's Tavern"
"Quinton Shaffer","The Wayland"
"Rachel Mckee","169 Bar"
"Rachel Mckee","Blue Bar"
"Rachel Mckee","Dear Irving"
"Rachel Mckee",PDT
"Rae Burton",Julius'
"Rae Burton","Little Branch"
"Rae Burton","The Counting Room"
"Rae Byrd",Dante
"Rae Byrd","Employees Only"
"Rae Byrd",Mace
"Rafael Sexton","Bemelmans Bar"
"Rafael Sexton","Spring Lounge"
"Rafael Sullivan","Holiday Cocktail Lounge"
"Rafael Sullivan","Sugar East"
"Raleigh Harvey","Rainbow Room"
"Raleigh Harvey","The Long Island Bar"
"Raleigh Moody","Holiday Cocktail Lounge"
"Raleigh Moody","The NoMad Bar"
"Ralph Marshall","Lee's Tavern"
"Ralph Pacheco","Clockwork Bar"
"Ralph Pacheco","The Central Bar"
"Ralph Pacheco","Ty Bar"
"Ralph Reilly","Bemelmans Bar"
"Ramiro Farley",7B
"Ramiro Farley",Killmeyer's
"Ramiro Farley",Mona's
"Ramiro Martinez","Amor y Amargo"
"Ramiro Martinez","Dutch Kills"
"Ramiro Martinez","e's Bar"
"Ramon Holt","Clover Club"
"Ramon Holt","Lee's Tavern"
"Ramon Holt","The Wayland"
"Ramon Lyons","Clover Club"
"Ramon Lyons","Dear Irving"
"Ramon Lyons","Townhouse of New York"
"Ramon Woodard","Blue Bar"
"Ramon Woodard","KGB Bar"
"Ramon Woodard","Old Town Bar"
"Ramona Hodges","Amor y Amargo"
"Ramona Hodges",BlackTail
"Ramona Kidd",Apotheke
"Ramona Kidd","Bar Sixtyfive"
"Ramona Kidd",Nitecap
"Ramona Pope",Mayahuel
"Ramona Pope","Raines Law Room"
"Ramona Spears","Lee's Tavern"
"Randal Cameron",7B
"Randal Cameron","Dear Irving"
"Randal Cameron","Raines Law Room"
"Randal Dillon","Townhouse of New York"
"Randal Strickland",Bua
"Randal Strickland","Clockwork Bar"
"Randal Strickland","Holiday Cocktail Lounge"
"Randall Bean",Primo's
"Randall Friedman","Dead Rabbit"
"Randell Macdonald",7B
"Randell Macdonald","Bemelmans Bar"
"Randi Leon",Attaboy
"Randi Leon",Rudy's
"Randi Richardson","Bar Nine"
"Randolph Montes",Attaboy
"Randolph Montes",Bua
"Randolph Robinson","Bar Sixtyfive"
"Randolph Robinson","Employees Only"
"Raphael Dougherty","Connolly's Bar"
"Raphael Fischer",Killmeyer's
"Raphael Frye",Torst
"Raphael Quinn","Aldo Sohm Wine Bar"
"Raphael Quinn","Spring Lounge"
"Raquel Ford",d.b.a.
"Raquel Underwood","Clover Club"
"Raquel Underwood",PDT
"Raquel Underwood","Raines Law Room"
"Rashad Jennings","Amor y Amargo"
"Rashad Jennings","Angel's Share"
"Rashad Jennings","Lucy's a.k.a. Blanche's Tavern"
"Raul Barry","Bronx Alehouse"
"Raul Barry","Dive Bar"
"Raul Barry","Zinc Bar"
"Raul West",Killmeyer's
"Raul West","Lee's Tavern"
"Rayford Spears","Amor y Amargo"
"Rayford Spears","Angel's Share"
"Rayford Spears","Bronx Alehouse"
"Rayford Spears","The Dead Rabbit"
"Raymon Bishop","Clover Club"
"Raymon Bishop","The Wayland"
"Raymon Fuentes",d.b.a.
"Raymon Fuentes","Rainbow Room"
"Raymon Fuentes","The Ginger Man"
"Raymon Henry","Dead Rabbit"
"Raymon Henry",Nowhere
"Raymon Henry","The Ship"
"Raymon Tapia","Tonic Bar"
"Raymond Barron","Death & Company"
"Raymond Barron","the Campbell"
"Raymond Barron","The Pony Bar"
"Raymond Barron","Until Tomorrow"
"Raymond Ferguson","The Aviary NYC"
"Raymond Ferguson","The Dead Rabbit"
"Raymond Ferguson","Until Tomorrow"
"Raymond Hester","Ghost Donkey"
"Raymond Montes","169 Bar"
"Raymond Montes","Blue Bar"
"Raymond Montes","Connolly's Bar"
"Raymond Montes","Lee's Tavern"
"Raymond Pope","169 Bar"
"Raymond Pope",Donna
"Raymond Pope",PDT
"Reba Ballard","Townhouse of New York"
"Reba Bright","Bemelmans Bar"
"Rebecca Acosta",BlackTail
"Rebecca Acosta","Dive Bar"
"Rebecca Cameron","Pegu Club"
"Rebecca Cameron","Raines Law Room"
"Rebecca Ellis","Old Town Bar"
"Rebecca Petty","Employees Only"
"Rebecca Petty","Orange Street"
"Rebecca Petty","The Up & Up"
"Rebecca Ryan",Barcade
"Rebecca Ryan","Blue Bar"
"Rebecca Ryan","KGB Bar"
"Rebekah Castillo",Bua
"Rebekah Castillo","The Long Island Bar"
"Rebekah Estrada","Holiday Cocktail Lounge"
"Rebekah Estrada","The Central Bar"
"Rebekah Estrada","The Ginger Man"
"Rebekah Hays","Jimmy's corner"
"Rebekah Hays","The 13th Step"
"Rebekah Jarvis","Bar Sixtyfive"
"Rebekah Jarvis","Blind Tiger Ale House"
"Rebekah Jarvis",Subject
"Reece Lambert","Connolly's Bar"
"Reece Lambert","Pegu Club"
"Reece Lambert","Townhouse of New York"
"Reed Dunn",7B
"Reed Dunn",Barcade
"Reed Dunn",Mona's
"Reed Dunn","The Wayland"
"Reed Hinton",d.b.a.
"Reed Hinton","The 13th Step"
"Reed Nichols","Raines Law Room"
"Reef Mcneil","Old Town Bar"
"Reef Mcneil",PDT
"Refugio Davis",7B
"Refugio Davis","Aldo Sohm Wine Bar"
"Refugio Lewis",Apotheke
"Refugio Lewis","Little Branch"
"Refugio Lewis",Subject
"Reggie Hardin",Barcade
"Reggie Hardin","Townhouse of New York"
"Reggie Mueller",Mace
"Reggie Sheppard","Old Town Bar"
"Reggie Sheppard","Pegu Club"
"Reggie Sheppard","Spring Lounge"
"Reggie Sheppard","The Wayland"
"Regina Pollard","e's Bar"
"Reginald Carlson",Apotheke
"Reginald Carlson",Mace
"Reginald Griffith","Raines Law Room"
"Reid Allison",7B
"Reid Allison",Barcade
"Reid Allison",Donna
"Reid Allison","Pegu Club"
"Reid Moran",7B
"Reid Moran","KGB Bar"
"Reid Moran","Townhouse of New York"
"Rena Gilbert","Angel's Share"
"Rena Gilbert",LENA
"Renaldo Garner","The Aviary NYC"
"Renato Blevins",PDT
"Renato Blevins","Pegu Club"
"Renato Blevins","Raines Law Room"
"Renato Lozano","Clover Club"
"Renato Lozano","Dear Irving"
"Renato Lozano",Donna
"Renato Lozano","KGB Bar"
"Renato Mckinney",Killmeyer's
"Renato Solis","McSorley's Old Ale House"
"Renato Solis","The 13th Step"
"Renato Solis","The Ship"
"Renato Whitaker",Barcade
"Renato Whitaker","Blue Bar"
"Renee Richard","Spring Lounge"
"Reon York","Blue Bar"
"Reon York","Dear Irving"
"Reon York",Killmeyer's
"Reuben Barber","Bohemian Hall & Beer Garden"
"Reuben Barber","e's Bar"
"Reuben Barber",LENA
"Reuben Callahan","Aldo Sohm Wine Bar"
"Reuben Lewis","Pouring Ribbons"
"Reuben Lewis","The Pony Bar"
"Reva Fritz","169 Bar"
"Reva Fritz","Bemelmans Bar"
"Reva Reese",Mona's
"Rex Conrad",7B
"Rex Conrad",Mona's
"Rex Conrad","Raines Law Room"
"Rex Herring",Barcade
"Rex Herring","Dear Irving"
"Rex Herring",Mona's
"Rex Obrien","169 Bar"
"Rex Obrien","Bemelmans Bar"
"Rex Obrien","Connolly's Bar"
"Reyes Baird","169 Bar"
"Reyes Baird",Mona's
"Reyes Baird",PDT
"Reyes Baird","Townhouse of New York"
"Reyes Sloan","Alewife Queens"
"Reyes Sloan",Attaboy
"Reyes Sloan","The NoMad Bar"
"Reynaldo Lawrence","Holiday Cocktail Lounge"
"Reynaldo Lawrence",Primo's
"Reynaldo Lawrence","The Long Island Bar"
"Rhea Whitehead",d.b.a.
"Rhea Whitehead","Donovan's Pub"
"Rhett Mayer",Boxer
"Rhett Mayer",Leyenda
"Rhett Mayer",Mace
"Rhoda Bernard","Ear Inn"
"Rhoda Quinn",Boxer
"Rhoda Quinn","Slowly Shirley"
"Rhoda Quinn",Subject
"Rhoda Shelton","Gallow Green"
"Rhoda Shelton","Tonic Bar"
"Rhoda Vega","Old Town Bar"
"Rhonda Andrade","KGB Bar"
"Rhonda Andrade",PDT
"Rhonda Andrade","Pegu Club"
"Rhonda Nolan","Rainbow Room"
"Rhonda Nolan",Rudy's
"Rhonda Nolan","The Summit Bar"
"Riaz Patel","169 Bar"
"Ricardo Berger","The Ship"
"Ricardo Woodward","Connolly's Bar"
"Ricardo Woodward","Lee's Tavern"
"Ricardo Woodward","The Wayland"
"Rich Wood",Dante
"Richard Gaines","e's Bar"
"Richard Gaines","Grand Banks"
"Richard Gaines",LENA
"Richard Kim","Employees Only"
"Richie Cunningham","Blind Tiger Ale House"
"Richie Cunningham",Boxer
"Richie Cunningham",Leyenda
"Richie Cunningham","Orange Street"
"Richie Livingston","KGB Bar"
"Richie Livingston","Old Town Bar"
"Richie Marsh",7B
"Richie Marsh","Blue Bar"
"Richie Shepherd","Townhouse of New York"
"Rick Chen","Death & Company"
"Rick Chen","The Aviary NYC"
"Rick Chen","The Pool Lounge"
"Rick David","Connolly's Bar"
"Rick Patel","e's Bar"
"Rickey English","The Iron Horse Nyc"
"Rickey Whitehead","Blue Bar"
"Rickey Whitehead",Donna
"Ricky Adams",Barcade
"Ricky Adams","Blue Bar"
"Ricky Adams","KGB Bar"
"Ricky Luna","Amor y Amargo"
"Ricky Luna","Bronx Alehouse"
"Ricky Luna","Death & Company"
"Ricky Park","Dead Rabbit"
"Ricky Park",Nowhere
"Rigoberto Austin","Connolly's Bar"
"Rigoberto Austin","Lee's Tavern"
"Rigoberto Austin",Mona's
"Rigoberto Mccall","Bemelmans Bar"
"Rigoberto Mccall","The Wayland"
"Rigoberto Meyers",Torst
"Riley Bean",Boxer
"Riley Bean","Broken Shaker"
"Riley Carson","169 Bar"
"Riley Carson","KGB Bar"
"Riley Carson","Old Town Bar"
"Rimsha Derrick","Dear Irving"
"Rimsha Derrick","KGB Bar"
"Rimsha Milne",BlackTail
"Rimsha Milne","Phoenix Bar"
"Rita Dunn",Apotheke
"Rita Dunn","Gallow Green"
"Rita Hart","KGB Bar"
"Rita Hart","Lee's Tavern"
"Rita Hart",Mona's
"Rita Hart","Pegu Club"
"Rob Hutchinson",Donna
"Rob Patterson","Blue Bar"
"Rob Patterson","Clover Club"
"Rob Patterson","Townhouse of New York"
"Robbie Schultz",d.b.a.
"Robbie Schultz","Jimmy's corner"
"Robbie Schultz",Rudy's
"Robby Rodgers",BlackTail
"Robert Mckenzie",7B
"Robert Mckenzie","Blue Bar"
"Robert Mckenzie","KGB Bar"
"Robert Mckenzie","The Wayland"
"Robert Patton","Dive Bar"
"Robert Patton","King Cole Bar"
"Robert Patton","The Aviary NYC"
"Roberta Harding",Killmeyer's
"Roberta Harding","The Wayland"
"Roberta Harrington","Pegu Club"
"Roberta Harrington","Townhouse of New York"
"Roberta Shah","Blue Bar"
"Roberta Shah","Clover Club"
"Roberta Shah","Raines Law Room"
"Roberto Kaufman","169 Bar"
"Roberto Kaufman","Lee's Tavern"
"Robin Cross","Lucy's a.k.a. Blanche's Tavern"
"Robin Cross","The Pony Bar"
"Robin Cross","Until Tomorrow"
"Robin Scott","Beauty Bar"
"Robin Scott",Bua
"Robin Scott","Jimmy's corner"
"Robt Everett","Gallow Green"
"Robt Everett","Keats Bar"
"Robt Everett","Rose Bar"
"Robt Frye",Barcade
"Robt Frye","Pegu Club"
"Robt Graham",PDT
"Robt Graham","Pegu Club"
"Robyn Banks","Old Town Bar"
"Robyn Banks","Townhouse of New York"
"Robyn Galvan","Bemelmans Bar"
"Robyn Galvan","Blue Bar"
"Robyn Galvan","Old Town Bar"
"Robyn Mcdowell",Bua
"Robyn Mcdowell","The NoMad Bar"
"Rochelle Medina",Julius'
"Rochelle Medina","The Honeywell"
"Rochelle Nicholson","Bar Goto"
"Rochelle Nicholson","Copper & Oak"
"Rochelle Nicholson","Keats Bar"
"Rochelle Nicholson",Subject
"Rochelle Payne",Mona's
"Rochelle Payne","Townhouse of New York"
"Rocky Manning",Donna
"Rocky Manning","Raines Law Room"
"Rocky Spence","Little Branch"
"Rocky Spence","Rose Bar"
"Rod Blackburn",Killmeyer's
"Roderick Massey","Copper & Oak"
"Roderick Massey","Keats Bar"
"Roderick Massey","The Counting Room"
"Roderick White","Aldo Sohm Wine Bar"
"Roderick White","Bemelmans Bar"
"Rodger Byrd",Apotheke
"Rodger Byrd",Boxer
"Rodger Byrd",Mace
"Rodger Byrd","The Counting Room"
"Rodger Mcconnell",Barcade
"Rodger Mcconnell","Townhouse of New York"
"Rodney Mayer","Bemelmans Bar"
"Rodney Mayer",Killmeyer's
"Rodolfo Johns",Julius'
"Rodrick Jacobs","KGB Bar"
"Rodrick Jacobs","Lee's Tavern"
"Rodrigo Dean","Dear Irving"
"Rodrigo Dean","Townhouse of New York"
"Rodrigo Dudley","Alewife Queens"
"Rodrigo Dudley","McSorley's Old Ale House"
"Rogelio Escobar","Aldo Sohm Wine Bar"
"Rogelio Escobar","Blue Bar"
"Rogelio Escobar","Dear Irving"
"Roger Hodges",Mayahuel
"Roger Hodges","Spring Lounge"
"Roisin James","Raines Law Room"
"Roland French",7B
"Roland French",PDT
"Rolando Bowen",LENA
"Rolando Bowen","The Dead Rabbit"
"Rolando Bowen","The Iron Horse Nyc"
"Rolando Bowen",Torst
"Rolando Fuentes","Dead Rabbit"
"Rolando Fuentes","The Summit Bar"
"Rolando Mayer","Bemelmans Bar"
"Rolando Mayer",Donna
"Rolando Mayer","Raines Law Room"
"Rolando Stafford","Keats Bar"
"Rolando Stafford",Subject
"Rolf Nolan","169 Bar"
"Rolf Nolan","Old Town Bar"
"Rolf Nolan","Raines Law Room"
"Rolland Pitts","The NoMad Bar"
"Roma Drew","Bar Nine"
"Roma Drew","Employees Only"
"Roma Drew","Orange Street"
"Roman Mcguire","Bemelmans Bar"
"Roman Mcguire","Connolly's Bar"
"Roman Mcguire",Mayahuel
"Roman Wiley","Rose Bar"
"Romeo Rosario","Lucy's a.k.a. Blanche's Tavern"
"Ron Diaz","Maison Premiere"
"Ron Diaz","Until Tomorrow"
"Ron Key","the Campbell"
"Ron Key","The Pool Lounge"
"Ron Key",Torst
"Ron Leach",7B
"Ron Leach",Barcade
"Ron Sawyer","Bemelmans Bar"
"Ron Sawyer","Spring Lounge"
"Ron Sawyer","The Wayland"
"Ron Ward","Alewife Queens"
"Ron Ward",Bua
"Ron Ward","Sugar East"
"Ron Ward","The Ginger Man"
"Ronald Mullen","Raines Law Room"
"Ronald Stanton",Apotheke
"Ronald Stanton",Nitecap
"Ronda Lara","The Pool Lounge"
"Ronda Lara","Until Tomorrow"
"Ronda Meyer","Clover Club"
"Ronda Meyer","KGB Bar"
"Ronnie Obrien",Donna
"Ronny Braun",Mona's
"Roosevelt Campbell","Blue Bar"
"Roosevelt Chapman","Donovan's Pub"
"Roosevelt Chapman",Nowhere
"Roosevelt Chapman",Primo's
"Roosevelt Chapman","Ty Bar"
"Roosevelt Curtis",Attaboy
"Roosevelt Curtis","Clockwork Bar"
"Roosevelt Curtis","Sugar East"
"Roosevelt Garrett","Dear Irving"
"Roosevelt Garrett",Mayahuel
"Roosevelt Garrett","Pegu Club"
"Roosevelt Garrett","Spring Lounge"
"Roosevelt Stanley","169 Bar"
"Roosevelt Stanley","Connolly's Bar"
"Roosevelt Stanley","KGB Bar"
"Rory Cervantes","The Counting Room"
"Rory Holland",Killmeyer's
"Rory Holloway","Aldo Sohm Wine Bar"
"Rory Holloway",Mayahuel
"Rory Holloway","Pegu Club"
"Rory Rosario","Employees Only"
"Rory Rosario","Orange Street"
"Rosa Caldwell",PDT
"Rosa Mathis","Copper & Oak"
"Rosalie Henderson","The Aviary NYC"
"Rosalie Lamb","Clover Club"
"Rosalie Nunez","Broken Shaker"
"Rosalie Nunez",Mace
"Rosalind Townsend","The Pool Lounge"
"Rosalind Townsend","Until Tomorrow"
"Rosanne Harmon",Bua
"Rosanne Harmon",Nowhere
"Rosanne Harmon","The Central Bar"
"Rosanne Hayden",Donna
"Rosanne Hill","Connolly's Bar"
"Rosanne Walter","Keats Bar"
"Rosanne Walter","Orange Street"
"Rosanne Walter","Slowly Shirley"
"Rosario Hampton","Orange Street"
"Roscoe Hawkins","Aldo Sohm Wine Bar"
"Roscoe Hawkins",Barcade
"Roscoe Hawkins","The Wayland"
"Roscoe Hawkins","Townhouse of New York"
"Rose Esparza",Mayahuel
"Rose May","Clover Club"
"Rose May",Donna
"Rose May",Mayahuel
"Rose May",PDT
"Rose Saunders","KGB Bar"
"Rose Sosa","Clover Club"
"Roseann Tanner","Sugar East"
"Roseann Tanner","The Long Island Bar"
"Rosella Rowland","Aldo Sohm Wine Bar"
"Rosella Rowland","Dear Irving"
"Rosella Short",Nowhere
"Rosemary Alvarado","Bohemian Hall & Beer Garden"
"Rosemary Alvarado","Ghost Donkey"
"Rosemary Alvarado","King Cole Bar"
"Rosemary Alvarado","Pouring Ribbons"
"Rosemary Duke",PDT
"Rosemary Holmes","Bemelmans Bar"
"Rosemary Holmes",Mayahuel
"Rosemary Holmes","Old Town Bar"
"Rosendo Moran",7B
"Rosendo Moran","Clover Club"
"Rosendo Moran","Lee's Tavern"
"Rosendo Moran","Pegu Club"
"Rosendo Pugh",PDT
"Rosendo Pugh","Spring Lounge"
"Rosie Archer",Dante
"Roslyn Hunter","The NoMad Bar"
"Roslyn Hunter","Ty Bar"
"Ross Huber",Dante
"Ross Huber",Leyenda
"Ross Huber","The Counting Room"
"Ross Huber","The Up & Up"
"Rowena Ray",Boxer
"Rowena Ray",Mace
"Roxanne Klein",Boxer
"Roxanne Klein","Copper & Oak"
"Roxanne Klein","The Counting Room"
"Roxanne Klein","The Up & Up"
"Roxanne Ramirez","Lucy's a.k.a. Blanche's Tavern"
"Roxanne Ramirez","The Aviary NYC"
"Roxie Espinoza",PDT
"Roy Chang","Lee's Tavern"
"Roy Chang","The Wayland"
"Royal Christensen","Clover Club"
"Royal Christensen","Dear Irving"
"Royal Christensen","Townhouse of New York"
"Ruben Orozco","ABC Beer Co."
"Ruben Orozco","Dive Bar"
"Ruben Orozco","Maison Premiere"
"Rubin Everett",Leyenda
"Rubin Everett",Subject
"Ruby Joseph","Dead Rabbit"
"Ruby Joseph","McSorley's Old Ale House"
"Ruby Joseph","The Ginger Man"
"Ruby Lamb",Mayahuel
"Rudolf Becker","Orange Street"
"Rudolf Bowen",7B
"Rudolf Bowen","Aldo Sohm Wine Bar"
"Rudolf Bowen","KGB Bar"
"Rudolf Perry","Little Branch"
"Rudolf Perry","Tonic Bar"
"Rudolph Barton","Holiday Cocktail Lounge"
"Rudolph Barton","The Summit Bar"
"Rudy Doyle","Employees Only"
"Rueben Beasley",Dante
"Rueben Beasley","Employees Only"
"Rueben Olsen","The 13th Step"
"Rueben Reese","Dutch Kills"
"Rufus Floyd",PDT
"Rufus Floyd","Pegu Club"
"Rufus Floyd","Townhouse of New York"
"Rufus Gonzales","169 Bar"
"Rufus Gonzales",7B
"Rufus Gonzales","Clover Club"
"Rupert Colon","169 Bar"
"Rupert Colon",Mona's
"Rupert Colon","Pegu Club"
"Rupert Ellis","Old Town Bar"
"Rupert Ellis","Pegu Club"
"Rupert Walker","Alewife Queens"
"Russ Byrd","Aldo Sohm Wine Bar"
"Russ Collins","Rainbow Room"
"Russ Lutz","Broken Shaker"
"Russ Lutz","Keats Bar"
"Russ Lutz","Slowly Shirley"
"Russ Strickland","Bemelmans Bar"
"Russ Strickland",PDT
"Russel Decker","Connolly's Bar"
"Russell Combs","Aldo Sohm Wine Bar"
"Russell Combs","Lee's Tavern"
"Russell Combs",PDT
"Russell Combs","The Wayland"
"Russell Garner","Bemelmans Bar"
"Russell Humphries","Ghost Donkey"
"Russell Humphries","Pouring Ribbons"
"Rusty Frank","Copper & Oak"
"Rusty Zuniga","Holiday Cocktail Lounge"
"Rusty Zuniga","McSorley's Old Ale House"
"Ruth Castro","Old Town Bar"
"Ruth Castro",PDT
"Ruth Castro","The Wayland"
"Ruthie Jenkins","Keats Bar"
"Ruthie Jenkins","Orange Street"
"Ruthie Manning","Dutch Kills"
"Ryan Mccarty",Barcade
"Ryan Mccarty","Bemelmans Bar"
"Ryan Mccarty",Killmeyer's
"Ryan Pollard","169 Bar"
"Ryan Pollard",Killmeyer's
"Saarah Mccormick","Connolly's Bar"
"Saarah Mccormick","Lee's Tavern"
"Saarah Mccormick",Mona's
"Sabrina Fleming","Aldo Sohm Wine Bar"
"Sabrina Fleming","Townhouse of New York"
"Sabrina Stein","Bemelmans Bar"
"Sabrina Stein","Blue Bar"
"Sabrina Stein",Mayahuel
"Sabrina Stein","Old Town Bar"
"Sadie Dodson","Blind Tiger Ale House"
"Sadie Dodson","Little Branch"
"Sadie Dodson","Rose Bar"
"Sadie Lozano","Bar Goto"
"Sadie Lozano","The Honeywell"
"Sadie Lozano","The Up & Up"
"Sahara Whitley","Aldo Sohm Wine Bar"
"Said Hutchinson",7B
"Said Hutchinson","Raines Law Room"
"Sal Costa",Dante
"Sal Costa",Subject
"Sal Costa","The Counting Room"
"Sal Costa","The Up & Up"
"Sal Haley","Spring Lounge"
"Sal Jennings","Clockwork Bar"
"Sal Jennings",Primo's
"Sal Jennings","The Central Bar"
"Sal Jennings","The Long Island Bar"
"Salahuddin Watt",d.b.a.
"Salahuddin Watt","The Central Bar"
"Salahuddin Watt","The Long Island Bar"
"Sallie Ayala","Blue Bar"
"Sallie Ayala","Spring Lounge"
"Sallie Watkins","Spring Lounge"
"Sallie Watkins","The Wayland"
